date,cash,shares,close,equity,position_ratio,ma5,ma17,diff,dea,macd_hist,action,reason
2025-09-11,25.227290000133507,260100,0.44,114469.22729000013,0.9997796150930921,0.446,0.43494117647058816,0.010164638712052865,0.010335157097761994,-0.00034103677141825856,,
2025-09-12,25.227290000133507,260100,0.441,114729.32729000013,0.9997801147222247,0.445,0.4364705882352941,0.009557194782493672,0.01017956463470833,-0.0012447397044293151,,
2025-09-15,25.227290000133507,260100,0.443,115249.52729000014,0.9997811072149853,0.44239999999999996,0.43782352941176467,0.009131907432753716,0.009970033194317409,-0.0016762515231273853,,
2025-09-16,25.227290000133507,260100,0.441,114729.32729000013,0.9997801147222247,0.44160000000000005,0.4388235294117647,0.008535093612498601,0.00968304527795365,-0.0022959033309100964,,
2025-09-17,25.227290000133507,260100,0.445,115769.72729000013,0.9997820907884067,0.442,0.4394705882352941,0.008289326732099367,0.009404301568782792,-0.0022299496733668503,,
2025-09-18,25.227290000133507,260100,0.443,115249.52729000014,0.9997811072149853,0.4426,0.4402941176470588,0.007842764911477784,0.009091994237321792,-0.0024984586516880146,,
2025-09-19,114174.87212000013,0,0.439,114174.87212000013,0.0,0.44220000000000004,0.44141176470588234,0.007084429981800144,0.008690481386217462,-0.003212102808834636,SELL_ALL,跌破MA17清仓
2025-09-22,114174.87212000013,0,0.44,114174.87212000013,0.0,0.44160000000000005,0.44264705882352945,0.006489330763599144,0.008250251261693799,-0.00352184099618931,,
2025-09-23,114174.87212000013,0,0.432,114174.87212000013,0.0,0.43979999999999997,0.44270588235294117,0.005310955811862195,0.007662392171727478,-0.004702872719730567,,
2025-09-24,114174.87212000013,0,0.435,114174.87212000013,0.0,0.4378,0.4420588235294118,0.004566520099682392,0.007043217757318461,-0.004953395315272138,,
2025-09-25,114174.87212000013,0,0.443,114174.87212000013,0.0,0.4378,0.44176470588235295,0.004569409269915503,0.006548456059837869,-0.003958093579844732,,
2025-09-26,114174.87212000013,0,0.433,114174.87212000013,0.0,0.4366,0.4409411764705882,0.0037218790269936686,0.00598314065326903,-0.004522523252550722,,
